.\img_syn_raw\train\image_case0_frame0_Scene.png,.\synthetic\train\labcmp\image_case0_frame0.bmp,.\synthetic\train\labdmg\image_case0_frame0.bmp,.\synthetic\train\depth\image_case0_frame0.png,43.37546985,TRUE,TRUE
.\img_syn_raw\train\image_case0_frame1_Scene.png,.\synthetic\train\labcmp\image_case0_frame1.bmp,.\synthetic\train\labdmg\image_case0_frame1.bmp,.\synthetic\train\depth\image_case0_frame1.png,24.31258591,TRUE,FALSE
.\img_syn_raw\train\image_case0_frame2_Scene.png,.\synthetic\train\labcmp\image_case0_frame2.bmp,.\synthetic\train\labdmg\image_case0_frame2.bmp,.\synthetic\train\depth\image_case0_frame2.png,33.04593756,TRUE,FALSE
.\img_syn_raw\train\image_case0_frame3_Scene.png,.\synthetic\train\labcmp\image_case0_frame3.bmp,.\synthetic\train\labdmg\image_case0_frame3.bmp,.\synthetic\train\depth\image_case0_frame3.png,43.24272289,TRUE,TRUE
.\img_syn_raw\train\image_case0_frame4_Scene.png,.\synthetic\train\labcmp\image_case0_frame4.bmp,.\synthetic\train\labdmg\image_case0_frame4.bmp,.\synthetic\train\depth\image_case0_frame4.png,25.81294817,TRUE,FALSE
.\img_syn_raw\train\image_case0_frame5_Scene.png,.\synthetic\train\labcmp\image_case0_frame5.bmp,.\synthetic\train\labdmg\image_case0_frame5.bmp,.\synthetic\train\depth\image_case0_frame5.png,20.92124419,TRUE,TRUE
.\img_syn_raw\train\image_case0_frame6_Scene.png,.\synthetic\train\labcmp\image_case0_frame6.bmp,.\synthetic\train\labdmg\image_case0_frame6.bmp,.\synthetic\train\depth\image_case0_frame6.png,36.8722234,TRUE,FALSE
.\img_syn_raw\train\image_case0_frame7_Scene.png,.\synthetic\train\labcmp\image_case0_frame7.bmp,.\synthetic\train\labdmg\image_case0_frame7.bmp,.\synthetic\train\depth\image_case0_frame7.png,46.63997199,TRUE,TRUE
.\img_syn_raw\train\image_case0_frame8_Scene.png,.\synthetic\train\labcmp\image_case0_frame8.bmp,.\synthetic\train\labdmg\image_case0_frame8.bmp,.\synthetic\train\depth\image_case0_frame8.png,33.42430985,TRUE,FALSE
.\img_syn_raw\train\image_case0_frame9_Scene.png,.\synthetic\train\labcmp\image_case0_frame9.bmp,.\synthetic\train\labdmg\image_case0_frame9.bmp,.\synthetic\train\depth\image_case0_frame9.png,33.95261632,TRUE,FALSE
